"time","intensity"
0.000010,1
0.020354,0
0.040307,0
0.060284,0
0.080260,3
0.100255,1
0.120244,0
0.140246,0
0.160247,0
0.180243,3
0.200238,1
0.220246,0
0.240239,0
0.260251,0
0.280255,3
0.300242,1
0.320245,0
0.340261,0
0.360251,0
0.380254,3
0.400237,1
0.420246,0
0.440238,0
0.460246,0
0.480235,3
0.500242,1
0.520252,0
0.540250,0
0.560240,0
0.580252,3
0.600245,1
0.620246,0
0.640239,0
0.660243,0
0.680241,3
0.700242,1
0.720234,0
0.740239,0
0.760231,0
0.780240,3
0.801252,0
0.820330,0
0.840279,0
0.860262,0
0.880249,3
0.900254,1
0.920246,0
0.940248,0
0.960237,0
0.980248,3
1.000239,1
1.020241,0
1.040235,0
1.060241,0
1.080252,3
1.100252,75
1.120240,0
1.140244,29
1.160237,13
1.180245,11
1.200238,6
1.220243,1
1.240233,0
1.260094,0
1.280264,4
1.300261,688
1.320249,153
1.340252,72
1.360239,32
1.380253,20
1.400238,10
1.420242,3
1.440241,0
1.460236,0
1.480237,4
1.500249,2
1.520251,0
1.540255,0
1.560249,0
1.580251,3
1.600246,2
1.620243,0
1.640239,169
1.660247,80
1.680236,823
1.700285,130
1.720232,242
1.740239,112
1.760246,65
1.780243,30
1.800246,18
1.820247,7
1.840248,1
1.860247,1
1.880238,5
1.900243,3
1.920231,0
1.940240,0
1.960236,0
1.980237,4
2.000231,2
2.020241,421
2.040233,239
2.060249,125
2.080241,69
2.100243,38
2.120232,20
2.140239,11
2.160233,7
2.180231,10
2.200238,6
2.220237,2
2.240232,1
2.260098,1
2.280246,5
2.300242,3
2.320248,0
2.340259,147
2.360242,107
2.380246,55
2.400237,0
2.420242,37
2.440234,13
2.460239,9
2.480233,103
2.500240,57
2.520255,118
2.540250,0
2.560241,22
2.580250,263
2.600245,116
2.620247,106
2.640244,47
2.660241,20
2.680233,16
2.700238,9
2.720236,3
2.740226,1
2.760236,1
2.780243,5
2.800255,3
2.820351,0
2.840396,0
2.860371,0
2.880336,4
2.900327,2
2.920330,0
2.940333,0
2.960320,450
2.980318,200
3.000316,734
3.020319,358
3.040314,159
3.060329,84
3.080330,431
3.100322,200
3.120321,93
3.140323,110
3.160319,30
3.180318,260
3.200317,135
3.220312,69
3.240315,38
3.260326,22
3.280333,214
3.300329,275
3.320328,207
3.340330,68
3.360328,50
3.380321,22
3.400318,245
3.420319,242
3.440326,118
3.460317,71
3.480319,35
3.500317,8
3.520330,12
3.540326,96
3.560324,41
3.580329,24
3.600323,327
3.620326,238
3.640322,123
3.660320,66
3.680319,0
3.700314,44
3.720317,0
3.740321,11
3.760319,8
3.780313,9
3.800319,364
3.820326,163
3.840329,73
3.860375,36
3.880324,23
3.900319,206
3.920313,178
3.940317,28
3.960320,43
3.980317,27
4.000317,15
4.020316,1023
4.040317,250
4.060332,117
4.080328,69
4.100320,38
4.120318,134
4.140317,81
4.160318,47
4.180314,27
4.200317,16
4.220313,0
4.240309,58
4.260109,118
4.280333,74
4.300321,28
4.320328,9
4.340329,133
4.360329,58
4.380323,33
4.400322,512
4.420317,137
4.440316,318
4.460317,169
4.480318,97
4.500313,51
4.520335,1023
4.540329,169
4.560324,256
4.580335,113
4.600323,61
4.620323,30
4.640317,15
4.660323,9
4.680316,10
4.700312,168
4.720314,35
4.740309,34
4.760315,21
4.780316,15
4.800316,8
4.820322,783
4.840334,233
4.860327,97
4.880327,71
4.900317,49
4.920318,28
4.940316,18
4.960310,13
4.980316,65
