"time","intensity"
0.000006,0
0.005131,3
0.010093,0
0.015086,0
0.020086,2
0.025092,0
0.030092,0
0.035091,0
0.040091,2
0.045091,0
0.050088,0
0.055095,3
0.060088,0
0.065096,0
0.070088,2
0.075095,0
0.080089,0
0.085088,0
0.090089,2
0.095096,0
0.100088,0
0.105096,3
0.110091,0
0.115096,0
0.120091,2
0.125090,0
0.130089,0
0.135096,0
0.140090,2
0.145098,0
0.150090,0
0.155097,3
0.160089,0
0.165090,0
0.170090,2
0.175098,0
0.180090,0
0.185098,0
0.190091,2
0.195098,0
0.200093,0
0.205095,3
0.210092,0
0.215097,0
0.220091,2
0.225101,0
0.230091,0
0.235099,0
0.240093,2
0.245095,0
0.250093,0
0.255094,3
0.260094,0
0.265102,0
0.270093,2
0.275102,0
0.280096,0
0.285095,0
0.290094,2
0.295099,0
0.300094,0
0.305102,3
0.310094,0
0.315100,0
0.320093,2
0.325094,0
0.330093,0
0.335101,0
0.340093,2
0.345102,0
0.350095,0
0.355102,3
0.360094,0
0.365097,0
0.370095,1
0.375101,0
0.380095,0
0.385102,0
0.390095,2
0.395103,0
0.400095,0
0.405097,3
0.410096,0
0.415103,0
0.420097,1
0.425100,0
0.430098,0
0.435103,0
0.440098,2
0.445099,0
0.450095,0
0.455105,3
0.460096,0
0.465099,0
0.470096,1
0.475096,0
0.480098,0
0.485099,0
0.490099,3
0.495105,0
0.500099,0
0.505097,3
0.510098,0
0.515101,0
0.520100,1
0.525099,0
0.530099,0
0.535106,0
0.540099,3
0.545106,0
0.550100,0
0.555108,3
0.560098,0
0.565101,0
0.570099,1
0.575106,1
0.580099,0
0.585109,0
0.590100,3
0.595105,0
0.600100,0
0.605100,3
0.610100,0
0.615107,0
0.620100,1
0.625106,1
0.630099,0
0.635107,0
0.640101,3
0.645102,0
0.650102,0
0.655107,3
0.660104,0
0.665108,0
0.670102,1
0.675109,1
0.680102,0
0.685103,0
0.690101,3
0.695108,0
0.700102,0
0.705109,3
0.710102,0
0.715103,0
0.720103,1
0.725104,1
0.730103,0
0.735109,0
0.740104,3
0.745110,0
0.750104,0
0.755107,3
0.760103,0
0.765105,0
0.770103,1
0.775111,1
0.780105,0
0.785111,0
0.790104,3
0.795110,0
0.800105,86
0.805104,141
0.810105,8
0.815112,50
0.820105,78
0.825112,60
0.830106,46
0.835111,39
0.840105,36
0.845105,25
0.850105,21
0.855116,23
0.860107,14
0.865113,14
0.870105,139
0.875114,83
0.880107,113
0.885108,24
0.890107,38
0.895114,32
0.900106,21
0.905113,27
0.910108,15
0.915113,12
0.920108,12
0.925108,11
0.930107,5
0.935115,5
0.940108,8
0.945109,2
0.950111,0
0.955117,5
0.960110,1
0.965110,0
0.970109,1
0.975114,1
0.980108,0
0.985117,0
0.990108,3
0.995115,0
1.000109,0
1.005108,3
1.010111,0
1.015117,0
1.020109,1
1.025117,2
1.030109,0
1.035117,0
1.040109,3
1.045110,0
1.050110,0
1.055118,3
1.060109,0
1.065118,0
1.070112,1
1.075116,1
1.080112,0
1.085112,0
1.090111,3
1.095119,0
1.100111,0
1.105118,3
1.110111,0
1.115118,0
1.120111,1
1.125111,1
1.130113,0
1.135119,461
1.140112,232
1.145118,156
1.150113,120
1.155120,100
1.160111,78
1.165115,61
1.170114,53
1.175120,45
1.180112,33
1.185121,28
1.190113,0
1.195120,0
1.200114,8
1.205116,16
1.210115,11
1.215125,7
1.220114,9
1.225121,8
1.230114,2
1.235121,2
1.240114,7
1.245115,1
1.250115,0
1.255116,5
1.260115,1
1.265124,0
1.270118,2
1.275124,3
1.280115,0
1.285116,0
1.290116,4
1.295122,0
1.300117,0
1.305123,3
1.310115,0
1.315123,0
1.320116,1
1.325117,2
1.330117,0
1.335124,0
1.340118,3
1.345123,0
1.350117,0
1.355125,3
1.360117,0
1.365117,0
1.370117,1
1.375125,2
1.380118,0
1.385124,0
1.390118,3
1.395124,0
1.400118,0
1.405119,3
1.410117,852
1.415119,0
1.420120,167
1.425125,41
1.430119,43
1.435126,32
1.440116,31
1.445117,24
1.450119,21
1.455128,21
1.460120,14
1.465127,11
1.470120,13
1.475121,14
1.480121,9
1.485121,9
1.490120,12
1.495126,6
1.500119,1023
1.505120,108
1.510123,126
1.515129,120
1.520121,105
1.525122,88
1.530122,68
1.535127,56
1.540122,51
1.545127,39
1.550122,33
1.555126,32
1.560124,23
1.565124,17
1.570124,17
1.575131,17
1.580121,0
1.585128,137
1.590123,273
1.595129,172
1.600124,131
1.605124,117
1.610123,92
1.615132,74
1.620124,64
1.625139,54
1.630137,40
1.635141,34
1.640129,35
1.645127,26
1.650126,21
1.655133,22
1.660127,16
1.665132,12
1.670125,12
1.675134,17
1.680133,0
1.685132,0
1.690129,6
1.695133,3
1.700127,0
1.705133,0
1.710129,0
1.715127,9
1.720129,18
1.725127,18
1.730125,9
1.735133,3
1.740128,5
1.745126,0
1.750125,1
1.755126,7
1.760128,4
1.765126,0
1.770127,2
1.775129,4
1.780128,0
1.785136,1
1.790129,6
1.795135,0
1.800128,0
1.805129,3
1.810125,1
1.815128,0
1.820128,2
1.825135,4
1.830128,0
1.835134,0
1.840129,4
1.845129,0
1.850129,0
1.855136,0
1.860128,249
1.865136,187
1.870128,146
1.875135,115
1.880130,86
1.885134,73
1.890131,65
1.895135,51
1.900129,42
1.905138,40
1.910131,31
1.915136,23
1.920130,506
1.925136,530
1.930130,307
1.935130,307
1.940133,238
1.945133,199
1.950132,159
1.955140,134
1.960132,103
1.965138,87
1.970129,83
1.975139,80
1.980131,0
1.985132,187
1.990215,116
1.995142,93
2.000134,82
2.005132,73
2.010133,57
2.015142,47
2.020131,44
2.025140,40
2.030133,31
2.035138,26
2.040134,28
2.045141,1023
2.050134,467
2.055139,539
2.060133,379
2.065139,344
2.070133,284
2.075140,224
2.080133,180
2.085143,148
2.090134,195
2.095143,164
2.100135,170
2.105141,153
2.110135,126
2.115140,106
2.120135,95
2.125143,81
2.130136,64
2.135143,54
2.140135,53
2.145140,42
2.150136,37
2.155142,37
2.160135,30
2.165143,85
2.170135,144
2.175143,229
2.180136,138
2.185138,145
2.190137,110
2.195144,94
2.200138,66
2.205146,61
2.210139,53
2.215143,48
2.220137,45
2.225143,44
2.230138,35
2.235144,34
2.240138,35
2.245143,25
2.250137,21
2.255139,24
2.260139,20
2.265145,16
2.270139,16
2.275148,17
2.280138,11
2.285146,10
2.290138,15
2.295146,9
2.300140,8
2.305147,12
2.310139,9
2.315146,6
2.320139,7
2.325146,10
2.330141,5
2.335146,4
2.340139,9
2.345147,4
2.350140,3
2.355148,7
2.360139,6
2.365146,2
2.370142,4
2.375149,7
2.380139,2
2.385148,2
2.390141,7
2.395148,3
2.400142,1
2.405149,6
2.410141,4
2.415148,1
2.420140,0
2.425148,490
2.430140,219
2.435147,149
2.440141,121
2.445148,99
2.450143,84
2.455147,76
2.460140,64
2.465148,52
2.470141,45
2.475142,42
2.480146,598
2.485153,242
2.490144,354
2.495150,226
2.500143,182
2.505144,140
2.510147,82
2.515150,50
2.520144,65
2.525149,86
2.530144,61
2.535151,1023
2.540144,263
2.545151,364
2.550145,318
2.555152,274
2.560145,228
2.565153,191
2.570145,162
2.575151,141
2.580144,116
2.585153,100
2.590145,91
2.595148,73
2.600148,62
2.605153,58
2.610146,50
2.615152,622
2.620147,207
2.625153,1023
2.630147,576
2.635152,403
2.640146,315
2.645152,264
2.650147,244
2.655154,200
2.660146,161
2.665153,132
2.670147,106
2.675152,100
2.680145,87
2.685155,75
2.690148,71
2.695153,56
2.700150,47
2.705156,46
2.710149,276
2.715151,508
2.720149,584
2.725157,274
2.730149,271
2.735155,312
2.740150,193
2.745155,169
2.750149,157
2.755150,266
2.760150,246
2.765157,214
2.770150,170
2.775156,128
2.780150,174
2.785156,159
2.790149,86
2.795156,18
2.800151,0
2.805157,0
2.810152,3
2.815157,8
2.820152,24
2.825158,34
2.830150,28
2.835159,32
2.840152,235
2.845158,148
2.850152,121
2.855159,110
2.860152,95
2.865159,77
2.870153,64
2.875158,843
2.880153,524
2.885160,397
2.890153,375
2.895159,298
2.900152,238
2.905159,210
2.910153,178
2.915161,148
2.920154,127
2.925161,114
2.930153,94
2.935160,82
2.940153,683
2.945156,71
2.950155,71
2.955164,68
2.960155,56
2.965161,42
2.970154,38
2.975162,37
2.980155,29
2.985161,24
2.990155,25
2.995161,19
3.000154,15
3.005156,16
3.010156,1023
3.015162,249
3.020155,458
3.025163,236
3.030156,284
3.035162,199
3.040156,714
3.045161,268
3.050157,219
3.055164,164
3.060157,118
3.065159,103
3.070157,90
3.075164,77
3.080158,61
3.085166,53
3.090157,50
3.095165,36
3.100158,32
3.105164,32
3.110157,28
3.115165,20
3.120158,18
3.125166,19
3.130156,12
3.135165,9
3.140158,563
3.145166,380
3.150160,297
3.155165,541
3.160159,392
3.165165,349
3.170158,266
3.175166,227
3.180159,186
3.185165,155
3.190158,134
3.195164,107
3.200159,88
3.205168,77
3.210161,65
3.215169,52
3.220160,44
3.225168,42
3.230160,32
3.235168,26
3.240159,27
3.245167,20
3.250160,16
3.255162,0
3.260162,431
3.265168,452
3.270161,293
3.275168,213
3.280161,160
3.285169,97
3.290162,68
3.295169,64
3.300161,49
3.305168,46
3.310161,40
3.315171,30
3.320163,25
3.325170,26
3.330162,19
3.335168,16
3.340161,19
3.345170,12
3.350162,8
3.355169,10
3.360163,10
3.365171,5
3.370161,808
3.375171,278
3.380163,203
3.385169,162
3.390164,88
3.395170,63
3.400164,77
3.405170,80
3.410163,70
3.415170,56
3.420165,47
3.425166,960
3.430166,133
3.435171,271
3.440161,217
3.445164,254
3.450166,1023
3.455173,144
3.460166,169
3.465173,101
3.470166,91
3.475166,60
3.480166,54
3.485172,49
3.490167,49
3.495174,40
3.500165,31
3.505181,29
3.510185,25
3.515197,18
3.520186,16
3.525196,19
3.530184,12
3.535194,10
3.540184,0
3.545193,330
3.550185,65
3.555193,167
3.560184,125
3.565194,116
3.570185,76
3.575193,84
3.580183,67
3.585195,55
3.590186,51
3.595195,39
3.600185,31
3.605194,29
3.610186,26
3.615195,18
3.620187,16
3.625198,19
3.630187,12
3.635194,9
3.640186,1023
3.645198,0
3.650187,127
3.655198,63
3.660185,733
3.665195,60
3.670187,47
3.675196,54
3.680187,29
3.685197,21
3.690187,22
3.695198,5
3.700187,10
3.705199,13
3.710188,13
3.715189,7
3.720191,6
3.725200,10
3.730190,5
3.735200,5
3.740188,9
3.745198,5
3.750189,2
3.755191,5
3.760189,6
3.765198,1
3.770189,949
3.775199,567
3.780188,437
3.785198,313
3.790190,262
3.795200,212
3.800190,173
3.805200,138
3.810190,118
3.815200,0
3.820191,161
3.825200,235
3.830190,135
3.835201,138
3.840191,103
3.845201,86
3.850190,65
3.855201,66
3.860192,60
3.865200,47
3.870190,41
3.875200,40
3.880192,30
3.885200,24
3.890192,26
3.895200,19
3.900191,14
3.905201,15
3.910191,1023
3.915201,47
3.920192,72
3.925202,76
3.930194,95
3.935198,0
3.940196,0
3.945195,201
3.950196,124
3.955203,126
3.960196,82
3.965204,63
3.970196,37
3.975205,20
3.980194,21
3.985194,17
3.990195,19
3.995205,13
4.000195,7
4.005195,8
4.010198,7
4.015207,1
4.020194,1
4.025204,6
4.030195,0
4.035204,118
4.040195,147
4.045206,78
4.050196,63
4.055205,944
4.060195,222
4.065207,125
4.070195,120
4.075205,127
4.080194,105
4.085211,78
4.090196,73
4.095206,52
4.100194,44
4.105204,39
4.110197,35
4.115205,27
4.120197,23
4.125206,25
4.130197,17
4.135207,13
4.140197,15
4.145206,11
4.150196,8
4.155206,215
4.160198,74
4.165205,130
4.170198,80
4.175207,40
4.180198,29
4.185207,21
4.190199,25
4.195212,1023
4.200199,211
4.205213,457
4.210201,304
4.215209,287
4.220201,221
4.225208,198
4.230200,160
4.235212,136
4.240201,125
4.245210,103
4.250201,85
4.255202,75
4.260206,67
4.265212,53
4.270201,45
4.275211,43
4.280200,32
4.285209,26
4.290200,238
4.295211,243
4.300202,124
4.305211,159
4.310201,162
4.315210,128
4.320203,108
4.325210,96
4.330202,81
4.335204,64
4.340203,60
4.345212,420
4.350201,331
4.355211,294
4.360204,200
4.365214,194
4.370202,149
4.375214,134
4.380203,105
4.385214,86
4.390203,77
4.395214,65
4.400203,54
4.405214,48
4.410204,43
4.415214,32
4.420203,27
4.425214,28
4.430204,21
4.435215,17
4.440204,717
4.445216,67
4.450205,9
4.455216,75
4.460206,79
4.465215,59
4.470206,54
4.475203,41
4.480208,35
4.485218,30
4.490205,31
4.495217,24
4.500206,17
4.505208,17
4.510209,17
4.515218,95
4.520207,147
4.525217,128
4.530207,92
4.535216,93
4.540207,62
4.545217,54
4.550206,46
4.555217,41
4.560208,38
4.565217,27
4.570207,22
4.575218,24
4.580209,17
4.585218,13
4.590208,16
4.595218,12
4.600208,7
4.605217,8
4.610209,10
4.615220,5
4.620208,4
4.625217,9
4.630209,3
4.635217,2
4.640209,6
4.645219,4
4.650211,1
4.655220,3
4.660208,5
4.665221,1
4.670210,0
4.675219,6
4.680211,1
4.685220,267
4.690210,410
4.695219,293
