"time","intensity"
0.000005,2
0.010124,0
0.020122,3
0.030111,0
0.040143,0
0.050119,2
0.060110,0
0.070109,3
0.080109,0
0.090091,0
0.100095,2
0.110093,0
0.120093,3
0.130092,0
0.140091,0
0.150089,2
0.160092,0
0.170093,3
0.180088,0
0.190094,0
0.200092,2
0.210090,0
0.220087,3
0.230091,0
0.240091,0
0.250093,2
0.260091,0
0.270090,3
0.280087,0
0.290090,0
0.300092,2
0.310087,0
0.320092,3
0.330091,0
0.340088,0
0.350094,2
0.360090,0
0.370092,3
0.380127,0
0.390091,0
0.400088,2
0.410092,0
0.420091,3
0.430092,0
0.440090,0
0.450091,1
0.460092,0
0.470092,3
0.480094,0
0.490091,0
0.500089,1
0.510091,0
0.520090,3
0.530090,0
0.540091,0
0.550089,1
0.560092,0
0.570091,3
0.580086,0
0.590086,0
0.600091,1
0.610090,0
0.620091,3
0.630091,0
0.640089,0
0.650091,1
0.660089,0
0.670091,3
0.680090,0
0.690089,0
0.700089,1
0.710091,0
0.720090,3
0.730091,0
0.740090,0
0.750089,1
0.760087,0
0.770091,3
0.780091,0
0.790093,0
0.800093,1
0.810091,0
0.820091,3
0.830091,0
0.840089,0
0.850091,1
0.860090,0
0.870093,3
0.880093,0
0.890089,0
0.900091,1
0.910091,0
0.920094,279
0.930089,203
0.940088,135
0.950090,91
0.960089,114
0.970089,29
0.980091,29
0.990089,27
1.000091,21
1.010091,11
1.020091,13
1.030090,4
1.040092,4
1.050092,5
1.060092,0
1.070091,5
1.080093,0
1.090091,0
1.100090,2
1.110091,0
1.120086,4
1.130091,0
1.140090,0
1.150092,1
1.160091,0
1.170090,3
1.180090,0
1.190091,0
1.200091,1
1.210089,0
1.220091,3
1.230091,0
1.240089,0
1.250138,1
1.260091,0
1.270090,3
1.280087,0
1.290090,0
1.300087,1
1.310086,0
1.320091,90
1.330092,35
1.340088,24
1.350108,23
1.360103,10
1.370095,12
1.380092,4
1.390095,3
1.400092,3
1.410091,0
1.420090,5
1.430088,0
1.440089,0
1.450091,1
1.460090,0
1.470090,4
1.480093,0
1.490094,0
1.500092,1
1.510090,0
1.520090,3
1.530089,0
1.540089,0
1.550090,1
1.560089,0
1.570090,3
1.580090,0
1.590090,1023
1.600092,205
1.610090,140
1.620091,101
1.630088,64
1.640088,44
1.650090,32
1.660084,19
1.670089,18
1.680090,8
1.690091,7
1.700090,6
1.710091,1
1.720089,6
1.730089,0
1.740088,1
1.750088,2
1.760089,0
1.770089,4
1.780091,0
1.790096,0
1.800091,1
1.810090,0
1.820089,4
1.830091,0
1.840092,0
1.850090,131
1.860090,105
1.870088,76
1.880089,45
1.890090,34
1.900089,25
1.910090,14
1.920094,15
1.930090,7
1.940088,6
1.950091,5
1.960090,1
1.970088,6
1.980089,0
1.990088,1
2.000091,2
2.010089,0
2.020089,4
2.030089,0
2.040091,0
2.050092,1
2.060091,0
2.070092,4
2.080091,0
2.090092,0
2.100091,1
2.110091,0
2.120091,3
2.130089,0
2.140090,0
2.150091,0
2.160085,0
2.170091,3
2.180091,0
2.190089,0
2.200090,0
2.210090,297
2.220089,153
2.230089,101
2.240091,70
2.250090,48
2.260123,30
2.270091,26
2.280090,13
2.290089,11
2.300088,8
2.310084,0
2.320091,144
2.330091,93
2.340089,36
2.350113,785
2.360118,186
2.370109,143
2.380111,95
2.390107,43
2.400106,36
2.410109,37
2.420108,34
2.430106,11
2.440108,11
2.450109,12
2.460108,5
2.470107,8
2.480106,3
2.490107,3
2.500106,2
2.510108,0
2.520108,5
2.530109,0
2.540107,2
2.550104,1
2.560110,0
2.570108,5
2.580108,0
2.590105,1
2.600110,1
2.610111,0
2.620106,4
2.630108,0
2.640108,629
2.650107,118
2.660104,100
2.670113,85
2.680110,59
2.690108,40
2.700107,30
2.710108,21
2.720107,22
2.730108,12
2.740107,11
2.750107,8
2.760107,5
2.770105,9
2.780104,3
2.790112,4
2.800107,3
2.810106,1
2.820108,6
2.830109,0
2.840103,2
2.850109,2
2.860108,0
2.870108,5
2.880105,0
2.890108,478
2.900105,223
2.910109,146
2.920111,109
2.930109,73
2.940109,53
2.950110,179
2.960106,332
2.970109,246
2.980108,168
2.990106,125
3.000107,301
3.010106,213
3.020109,279
3.030106,191
3.040108,131
3.050110,92
3.060109,62
3.070107,308
3.080106,484
3.090104,201
3.100111,117
3.110109,0
3.120109,234
3.130107,145
3.140108,103
3.150107,72
3.160100,48
3.170108,40
3.180109,0
3.190108,1023
3.200108,83
3.210108,326
3.220107,205
3.230107,146
3.240108,106
3.250108,73
3.260107,51
3.270105,43
3.280101,27
3.290108,0
3.300108,282
3.310101,327
3.320109,220
3.330109,139
3.340105,106
3.350111,76
3.360106,58
3.370121,49
3.380119,30
3.390110,27
3.400109,158
3.410109,158
3.420106,109
3.430109,296
3.440107,210
3.450107,153
3.460106,120
3.470110,87
3.480107,50
3.490107,38
3.500105,28
3.510106,18
3.520108,17
3.530106,11
3.540107,11
3.550099,7
3.560110,5
3.570107,9
3.580106,3
3.590102,5
3.600107,3
3.610106,2
3.620105,7
3.630105,1
3.640108,4
3.650108,2
3.660101,1
3.670110,6
3.680107,0
3.690107,3
3.700107,1
3.710106,0
3.720107,5
3.730108,0
3.740108,315
3.750106,285
3.760105,188
3.770104,136
3.780101,89
3.790112,324
3.800109,115
3.810107,699
3.820099,137
3.830108,71
3.840110,72
3.850107,49
3.860108,527
3.870109,227
3.880108,0
3.890106,159
3.900105,127
3.910106,1023
3.920109,236
3.930108,177
3.940107,167
3.950107,106
3.960105,78
3.970108,61
3.980105,304
3.990105,169
4.000106,114
4.010105,78
4.020104,60
4.030106,37
4.040109,0
4.050111,350
4.060111,246
4.070108,177
4.080106,123
4.090100,95
4.100108,70
4.110106,51
4.120106,42
4.130107,27
4.140105,23
4.150106,16
4.160101,12
4.170108,14
4.180107,6
4.190108,46
4.200106,194
4.210105,144
4.220105,79
4.230107,60
4.240106,50
4.250104,34
4.260105,24
4.270105,23
4.280106,13
4.290105,13
4.300105,8
4.310101,6
4.320107,10
4.330106,3
4.340104,315
4.350108,283
4.360110,164
4.370107,116
4.380106,76
4.390105,57
4.400105,40
4.410104,27
4.420104,25
4.430105,14
4.440104,14
4.450107,8
4.460106,6
4.470106,263
4.480105,212
4.490104,930
4.500106,254
4.510103,166
4.520104,119
4.530107,78
4.540104,57
4.550106,37
4.560106,26
4.570106,185
4.580106,235
4.590105,173
4.600107,118
4.610106,84
4.620107,66
4.630106,48
4.640107,39
4.650105,251
4.660099,144
4.670108,105
4.680105,69
4.690106,52
4.700107,35
4.710104,939
4.720103,737
4.730106,333
4.740106,216
4.750107,149
4.760107,108
4.770107,340
4.780107,200
4.790108,195
4.800108,94
4.810103,65
4.820106,51
4.830105,32
4.840105,0
4.850107,203
4.860105,255
4.870108,102
4.880105,255
4.890104,182
4.900103,124
4.910106,86
4.920108,64
4.930106,41
4.940104,33
4.950106,21
4.960106,881
4.970107,305
4.980106,113
4.990106,228
